tag,english,spanish,portuguese,french,,,
UI_APP_TITLE,Formic Empire,Formic Empire,Formic Empire,Formic Empire,,,
UI_BACK_TO_GAME,Back to Game,Volver al Juego,Voltar ao Jogo,Retour au jeu,,,
UI_BACK_TO_MENU,Quit to Main Menu,Salir al Menú Principal,Sair para o Menu Principal,Quitter vers le menu principal,,,
UI_MENU,Menu,Menú,Menu,Menu,,,
UI_SETTINGS,Settings,Ajustes,Configurações,Paramètres,,,
UI_TUTORIAL,Show Tutorial,Mostrar Tutorial,Mostrar Tutorial,Afficher le tutoriel,,,
UI_PAUSE,Pause,Pausar,Pausar,Pause,,,
UI_PLAY,Play,Jugar,Jogar,Jouer,,,
UI_SPEED_UP,Speed+,Velocidad+,Velocidade+,Vitesse +,,,
UI_SPEED_DOWN,Speed-,Velocidad-,Velocidade-,Vitesse -,,,
UI_SPEED_VERY_SLOW,Very Slow,Muy Lenta,Muito Lenta,Très lente,,,
UI_SPEED_SLOW,Slow,Lenta,Lenta,Lente,,,
UI_SPEED_NORMAL,Normal,Normal,Normal,Normale,,,
UI_SPEED_FAST,Fast,Rápida,Rápida,Rapide,,,
UI_SPEED_VERY_FAST,Very Fast,Muy Rápida,Muito Rápida,Très rapide,,,
UI_SPEED_TURBO,Turbo,Turbo,Turbo,Turbo,,,
UI_CONTROL_SPEED_UP_TT,Increase game speed (+ / =),Aumentar velocidad del juego (+ / =),Aumentar velocidade do jogo (+ / =),Augmenter la vitesse (+ / =),,,
UI_CONTROL_SPEED_DOWN_TT,Decrease game speed (-),Reducir velocidad del juego (-),Diminuir velocidade do jogo (-),Diminuer la vitesse (-),,,
UI_CONTROL_PLAY_TT,Resume game (Space),Reanudar juego (Espacio),Retomar jogo (Espaço),Reprendre (Espace),,,
UI_CONTROL_PAUSE_TT,Pause game (Space),Pausar juego (Espacio),Pausar jogo (Espaço),Mettre en pause (Espace),,,
UI_CONTROL_MENU_TT,Game menu (Esc),Menú del juego (Esc),Menu do jogo (Esc),Menu du jeu (Échap),,,
UI_CONTROL_SPEED_TT,Current speed: %s (%s ms per tick),Velocidad actual: %s (%s ms por tick),Velocidade atual: %s (%s ms por tick),Vitesse actuelle : %s (%s ms par tic),,,
UI_CONTROL_PAUSED_TT,Game paused (Space to resume),Juego pausado (Espacio para reanudar),Jogo pausado (Espaço para retomar),Partie en pause (Espace pour reprendre),,,
UI_TICK_PREFIX,Tick: ,Vel: ,Vel.: ,Tic : ,,,
UI_MS_SUFFIX,ms,ms,ms,ms,,,
UI_PAUSED_TICK,Paused,Pausado,Pausado,En pause,,,
UI_NOT_STARTED,Game not started,Juego no iniciado,Jogo não iniciado,Partie non démarrée,,,
UI_STARTING,Starting game...,Iniciando juego...,Iniciando jogo...,Démarrage de la partie...,,,
UI_RUNNING,Running,En ejecución,Em execução,En cours,,,
UI_ERROR_LOADING,Error loading game!,¡Error al cargar el juego!,Erro ao carregar o jogo!,Erreur de chargement de la partie !,,,
UI_LOADING_WAIT,"Loading game, please wait...","Cargando juego, por favor espera...","Carregando jogo, aguarde...","Chargement de la partie, veuillez patienter...",,,
UI_CLOSE,Close,Cerrar,Fechar,Fermer,,,
UI_SAVE,Save,Guardar,Salvar,Enregistrer,,,
UI_DELETE,Delete,Eliminar,Excluir,Supprimer,,,
UI_CANCEL,Cancel,Cancelar,Cancelar,Annuler,,,
UI_CONFIRM,Confirm,Confirmar,Confirmar,Confirmer,,,
UI_YES,Yes,Sí,Sim,Oui,,,
UI_NO,No,No,Não,Non,,,
UI_OK,OK,OK,OK,OK,,,
UI_LEVEL,Level,Nivel,Nível,Niveau,,,
UI_TOTAL,Total,Total,Total,Total,,,
UI_UPGRADE,Upgrade,Mejora,Melhoria,Amélioration,,,
UI_LOCKED,Locked,Bloqueado,Bloqueado,Verrouillé,,,
UI_UNLOCKED,Unlocked,Desbloqueado,Desbloqueado,Déverrouillé,,,
UI_COST,Cost,Coste,Custo,Coût,,,
UI_REQUIREMENTS,Requirements,Requisitos,Requisitos,Prérequis,,,
UI_BUY,Buy,Comprar,Comprar,Acheter,,,
UI_BUILD,Build,Construir,Construir,Construire,,,
UI_BEGIN,Begin,Empezar,Começar,Commencer,,,
UI_TRIGGER,Trigger,Activar,Ativar,Déclencher,,,
UI_ENABLED,Enabled,Activado,Ativado,Activé,,,
UI_DISABLED,Disabled,Desactivado,Desativado,Désactivé,,,
UI_HEALTHY,Healthy,Saludable,Saudável,En bonne santé,,,
UI_MISSING,Missing,Ausente,AUSENTE,ABSENT,,,
UI_COMBINED,Combined,Combinado,Combinado,Combiné,,,
UI_SUMMARY,Summary,Resumen,Resumo,Résumé,,,
UI_MAX,Max,Máx,Máx.,Max,,,
UI_TRANSIT,Transit,En Tránsito,Em Trânsito,En transit,,,
UI_RETURNING,Returning,Regresando,Retornando,Retour,,,
UI_MODIFIED, [Modified], [Modificado], [Modificado], [Modifié],,,
UI_BILATERAL,(Bilateral),(Bilateral),(Bilateral),(Bilatéral),,,
UI_ESTABLISH,Establish,Establecer,Estabelecer,Établir,,,
UI_MANAGE,Manage,Gestionar,Gerenciar,Gérer,,,
UI_EDIT,Edit,Editar,Editar,Modifier,,,
UI_VIEW,View,Ver,Ver,Voir,,,
UI_MATURING,Maturing...,Madurando...,Amadurecendo...,Maturation...,,,
UI_BACK,Back,Atrás,Voltar,Retour,,,
UI_CREATE,Create,Crear,Criar,Créer,,,
UI_LOAD,Load,Cargar,Carregar,Charger,,,
UI_HELP,Help,Ayuda,Ajuda,Aide,,,
UI_ROADMAP,Roadmap,Hoja de ruta,Roteiro,Feuille de route,,,
UI_QUIT,Quit,Salir,Sair,Quitter,,,
INTRO_WARNING,"%s is a colony simulation about pixelated ants, bugs, and other arthropods.<br><br>If spiders or similar creatures bother you, enable Arachnophobia Mode in Settings before you play.","%s es una simulación de colonias con hormigas, insectos y otros artrópodos en píxeles.<br><br>Si las arañas u otros arácnidos te molestan, activa el Modo aracnofobia en Ajustes antes de jugar.","%s é uma simulação de colónia com formigas, insetos e outros artrópodes pixelados.<br><br>Se aranhas ou criaturas semelhantes te incomodam, ativa o Modo aracnofobia nas Definições antes de jogar.","%s est une simulation de colonie avec des fourmis, insectes et autres arthropodes en pixels.<br><br>Si les araignées ou créatures similaires vous gênent, activez le Mode arachnophobie dans les Paramètres avant de jouer.",,,
INTRO_PHOTOSENSITIVITY_WARNING,"Photosensitivity warning: This game contains flashing lights and visual effects that may trigger seizures in people with photosensitive epilepsy.<br><br>If you or anyone in your household has a history of seizures or epilepsy, consult a doctor before playing.","Aviso de fotosensibilidad: este juego contiene luces intermitentes y efectos visuales que pueden provocar convulsiones en personas con epilepsia fotosensible.<br><br>Si tú o alguien de tu hogar tiene antecedentes de convulsiones o epilepsia, consulta a un médico antes de jugar.","Aviso de fotossensibilidade: este jogo contém luzes intermitentes e efeitos visuais que podem desencadear convulsões em pessoas com epilepsia fotossensível.<br><br>Se tu ou alguém na tua casa tem histórico de convulsões ou epilepsia, consulta um médico antes de jogar.","Avertissement photosensibilité : ce jeu contient des lumières clignotantes et des effets visuels susceptibles de provoquer des crises chez les personnes atteintes d'épilepsie photosensible.<br><br>Si vous ou un membre de votre foyer a des antécédents de crises ou d'épilepsie, consultez un médecin avant de jouer.",,,
INTRO_LICENSE_SUMMARY,FormicEmpire License (summary)<br><br>The author holds the sole right to monetize this project's code and assets. Free non-commercial use and mods are allowed and encouraged. Playing is free.<br><br>Read the full license from License on the main menu.,Licencia de FormicEmpire (resumen)<br><br>El autor tiene el derecho exclusivo de monetizar el código y los recursos de este proyecto. Se permite y se fomenta el uso no comercial gratuito y los mods. Jugar es gratis.<br><br>Lee la licencia completa en Licencia en el menú principal.,Licença do FormicEmpire (resumo)<br><br>O autor detém o direito exclusivo de monetizar o código e os recursos deste projeto. Uso não comercial gratuito e mods são permitidos e incentivados. Jogar é grátis.<br><br>Lê a licença completa em Licença no menu principal.,Licence FormicEmpire (résumé)<br><br>L'auteur détient le droit exclusif de monétiser le code et les ressources de ce projet. L'usage non commercial gratuit et les mods sont autorisés et encouragés. Jouer est gratuit.<br><br>Lisez la licence complète via Licence dans le menu principal.,,,
ROADMAP_TITLE,Development Roadmap,Hoja de ruta de desarrollo,Roteiro de desenvolvimento,Feuille de route du développement,,,
